PROBS,CODEDIST-5,CODEDIST-7,CODEDIST-9
0.0001,0.1971875,0.163125,0.1340625
0.0035448275862068964,0.3140625,0.346875,0.3725
0.006989655172413793,0.3675,0.42625,0.4528125
0.010434482758620689,0.42625,0.47625,0.488125
0.013879310344827585,0.460625,0.50875,0.50125
0.017324137931034482,0.47,0.501875,0.509375
0.02076896551724138,0.4834375,0.4975,0.51
0.024213793103448275,0.5059375,0.503125,0.4903125
0.02765862068965517,0.5053125,0.5075,0.5090625
0.031103448275862068,0.495,0.501875,0.506875
0.03454827586206897,0.4990625,0.5175,0.49
0.03799310344827586,0.515,0.5065625,0.48875
0.04143793103448276,0.505625,0.5040625,0.49625
0.04488275862068966,0.4778125,0.5053125,0.513125
0.048327586206896554,0.5034375,0.50375,0.5084375
0.05177241379310345,0.491875,0.4934375,0.496875
0.05521724137931035,0.495,0.48875,0.5015625
0.05866206896551725,0.5096875,0.4925,0.49125
0.06210689655172414,0.4921875,0.5078125,0.5053125
0.06555172413793103,0.50125,0.513125,0.494375
0.06899655172413793,0.4884375,0.4928125,0.511875
0.07244137931034483,0.508125,0.5109375,0.50875
0.07588620689655172,0.505,0.501875,0.51
0.07933103448275862,0.505,0.4834375,0.4875
0.08277586206896552,0.509375,0.4975,0.5003125
0.08622068965517242,0.4996875,0.5134375,0.509375
0.08966551724137932,0.4975,0.4915625,0.5059375
0.0931103448275862,0.5028125,0.505625,0.4859375
0.0965551724137931,0.4953125,0.4828125,0.503125
0.1,0.50625,0.499375,0.503125
